,tanggal,pengguna,tweet,stemming & clean text,sentiment
13,2022-07-02 23:58:17,rahung,Mungkin dan haji bisa klarifikasi,mungkin dan haji bisa klarifikasi,Netral
14,2022-07-02 23:57:21,jmelive,Bicara ancaman kemanusiaan di Ukraine yg seharus nya di bicarakan di Russia karena Russia yg serang Ukraine Putin perang kriminal ketemu Jokowi dg muka senyum manis sangat kecewakan,bicara ancam manusia di ukraine yg harus nya di bicara di russia karena russia yg serang ukraine putin perang kriminal ketemu jokowi dg muka senyum manis sangat kecewa,Netral
15,2022-07-02 23:56:56,aprabowoadi,Begini perilakunya yang tidak mau dikritik Bikin pasal penghinaan Tapi malah menghinakan diri sendiri di mata internasional apa dikira bangsa dan negara ini tidak ikut menanggung malu,begini perilaku yang tidak mau kritik bikin pasal hina tapi malah hina diri sendiri di mata internasional apa kira bangsa dan negara ini tidak ikut tanggung malu,Netral
16,2022-07-02 23:56:54,HToery,Silalahi Kebetulan ini si nicho ini lahir nya disedot pake fakum bang Jadi makanya bentuk nya begitu nah harusnya dia pinter tuh kayak cuma karna disedot ya gitu jadinya Kalo ngak salah menurut info angin disedot pake mobil sedot tinja katanya dulu,silalahi betul ini si nicho ini lahir nya sedot pake fakum bang jadi makanya bentuk nya begitu nah harus dia pinter tuh kayak cuma karna sedot ya gitu jadi kalo ngak salah turut info angin sedot pake mobil sedot tinja kata dulu,Netral
17,2022-07-02 23:56:52,prihatin_lebay,Polri Kalau penyidik yg mentwett tolong dong buka blokir saya,polri kalau sidik yg mentwett tolong dong buka blokir saya,Netral
18,2022-07-02 23:56:46,Ati26987442,Ngibul kok jd kebiasaan,ngibul kok jd biasa,Netral
19,2022-07-02 23:56:45,TyrexMaximus,Jangan2 salah menyampaikan pesan ke putin Dan putin paham sekali kalau jokowi bilang tidak berarti iya,jangan2 salah sampai pesan ke putin dan putin paham sekali kalau jokowi bilang tidak arti iya,Netral
20,2022-07-02 23:56:42,MukaniRoziq,Ayo Jelajahi Desa Wisata DesaWisataNusantara TPPJawaTimur TPPTrenggalek haramain Asharie,ayo jelajah desa wisata desawisatanusantara tppjawatimur tpptrenggalek haramain asharie,Netral
21,2022-07-02 23:56:35,zubair_andika,Pak mohon maaf nihhh kalo bisa BOHONG nya gak usah di ekspor keluar negeri Maluuu Pak krna org luar ga sebodoh pemuja anda kayak anjing anjing ekokuntadhi,pak mohon maaf nihhh kalo bisa bohong nya gak usah di ekspor keluar negeri maluuu pak krna org luar ga bodoh puja anda kayak anjing anjing ekokuntadhi,Netral
22,2022-07-02 23:56:35,Cigundul87,Habisin waktu kerja nya presiden ukrania ini mah,habisin waktu kerja nya presiden ukrania ini mah,Netral
23,2022-07-02 23:56:20,SyarifAlmahdal4,C1L0G JOE Runtuhnya wibawa negeri,c1l0g joe runtuh wibawa negeri,Netral
24,2022-07-02 23:56:04,aderifaeuy,didu wkwkwkw para pendukung jokowi berharap beliau menjadi sekjen pbb dan dimulai dengan kewadulan,didu wkwkwkw para dukung jokowi harap beliau jadi sekjen pbb dan mulai dengan kewadulan,Netral
25,2022-07-02 23:56:04,attararya,Eh eh kok gitu sih Loh kok ngibul Jangan gitu ah Malu senegara,eh eh kok gitu sih loh kok ngibul jangan gitu ah malu negara,Netral
26,2022-07-02 23:55:52,Rudi89402993,mujani tr Jangan karena kebencianmu kepada seseorang kau bertindak tidak adil kepadanya,mujani tr jangan karena benci kepada orang kau tindak tidak adil kepada,Netral
27,2022-07-02 23:55:45,kakekharam,Mantan,mantan,Netral
28,2022-07-02 23:55:43,SyarifAlmahdal4,Runtuhnya wibawa negeri,runtuh wibawa negeri,Netral
29,2022-07-02 23:55:37,AdiLB78027720,taph ID idha Pak Jokowi awal mula ide tsb dari gub Fausi Bowo Gub Anies bikin banyak tapi ambiradul gub jJateng juga mau bikin tp yg bukan asal asalan biar uang APBD tdk ambyar,taph id idha pak jokowi awal mula ide tsb dari gub fausi bowo gub anies bikin banyak tapi ambiradul gub jjateng juga mau bikin tp yg bukan asal asal biar uang apbd tdk ambyar,Netral
30,2022-07-02 23:55:15,Bonaleles,cakrasurya Dah mendarah daging kali,cakrasurya dah darah daging kali,Netral
31,2022-07-02 23:55:03,hamaro_id,dirs Mungkin matamu ketutup Pimpinan Negara didunia aja mengakui Jokowi atau mungkin kamu muridnya Rocky Gedung,dirs mungkin mata tutup pimpin negara dunia aja aku jokowi atau mungkin kamu murid rocky gedung,Netral
32,2022-07-02 23:55:02,Dzulfaqqar1,Bohong apa lagi yang kau dunstakan,bohong apa lagi yang kau dunstakan,Netral
33,2022-07-02 23:54:51,BramElkana,Saffira Polri Bangga banget ya jadi iblis bukan pembawa damai,saffira polri bangga banget ya jadi iblis bukan bawa damai,Netral
34,2022-07-02 23:54:45,HendroWibowoYZA,MbakSri Haram mengambil hak orang lain Israel punya hak tampil di piala dunia Abaikan kadrun sama setan kok takut RI,mbaksri haram ambil hak orang lain israel punya hak tampil di piala dunia abai kadrun sama setan kok takut ri,Netral
35,2022-07-02 23:54:44,Curang16,Saffira Polri Berita ini lho yg dimaksud,saffira polri berita ini lho yg maksud,Netral
36,2022-07-02 23:54:35,raiderazor,Kerjasama dlm misi damai yg mana yg ini,kerjasama dlm misi damai yg mana yg ini,Netral
37,2022-07-02 23:54:23,penemusedotan,Tapi apa yg dilakukan soeharto selama berkuasa berhasil membawa bangsa ini berkembang dan menjadi macan asia Apa yg dilakukan jokowi kini selain bikin proyek dari dana hutang Kesejahteraan Keadilan Keamanan Penegakan hukum,tapi apa yg laku soeharto lama kuasa hasil bawa bangsa ini kembang dan jadi macan asia apa yg laku jokowi kini selain bikin proyek dari dana hutang sejahtera adil aman tega hukum,Netral
38,2022-07-02 23:54:21,AndrianaSiren,Sdhlah pak jangan pencitraan terus kasian rakyatmu sengsara,sdhlah pak jangan citra terus kasi rakyat sengsara,Netral
39,2022-07-02 23:54:20,prihatin_lebay,Kalau tolol jangan di borong semua dong sisain dikit lah,kalau tolol jangan di borong semua dong sisain dikit lah,Netral
40,2022-07-02 23:54:06,logikaberlogika,Polri Hahaha malu gua baca laporan lu ke polisi Otak mana otak,polri hahaha malu gua baca lapor lu ke polisi otak mana otak,Positif
41,2022-07-02 23:54:00,SyaefullahHamid,Memang jd mediator butuh kecerdasan tdk boleh bersikap naif dan lugu krn justru bisa jd kontraproduktif,memang jd mediator butuh cerdas tdk boleh sikap naif dan lugu krn justru bisa jd kontraproduktif,Netral
42,2022-07-02 23:53:53,mumerdong,PAKET SEMBAKO AYOO GUYS LAGI PROMO PAKET SEMBAKO CUMAN Rp 59K GRATIS ONGKIR BURUAN SEBELUM KEHABISAN JANGAN LUPA PAKAI VOUCHERNYA BIAR DAPAT CASHBACK Ronaldo AldebaranNeverReplaced Marselino Ronaldo Jokowi Malem Minggu Fajri Tidur,paket sembako ayoo guys lagi promo paket sembako cuman rp 59k gratis ongkir buru belum habis jangan lupa pakai vouchernya biar dapat cashback ronaldo aldebaranneverreplaced marselino ronaldo jokowi malem minggu fajri tidur,Netral
43,2022-07-02 23:53:47,iriantomo,2024 AbdillahToha mujani Anda jangan samakan standar rendah kepribadian anda dengan standar orang lain Dungu namanya,2024 abdillahtoha mujani anda jangan sama standar rendah pribadi anda dengan standar orang lain dungu nama,Netral
44,2022-07-02 23:53:45,DarjoGuh,huwa Polri Masalahnya adalah semua hinaan akan diproses jika ada pengaduan dari pihak yang dirugikan karena sifatnya delik aduan Maka saya lebih suka bersikap hal2 begini diselesaikan secara adat saja Bongkar identitasnya lalu sebar ke kantor lingkungan nya Sangsi sosial lbh tepat,huwa polri masalah adalah semua hina akan proses jika ada adu dari pihak yang rugi karena sifat delik adu maka saya lebih suka sikap hal2 begini selesai cara adat saja bongkar identitas lalu sebar ke kantor lingkung nya sangsi sosial lbh tepat,Netral
45,2022-07-02 23:53:44,Beni01876766,Ngeprank nya sdh kelas dunia cuuuuy,ngeprank nya sdh kelas dunia cuuuuy,Netral
46,2022-07-02 23:53:38,alvinrio_1501,RI koko28 Kurang ajar,ri koko28 kurang ajar,Netral
47,2022-07-02 23:53:34,sawal_j,Ini mempermudah atau mempersulit yaaa Keuntungan nya masuk ke kantong siapa Pro wong cilik atau wong licik nih Yang menggadang gadang Ahok coba tanyain yaaa Membuat rakyat pintar atau memintar mintari ngakalin rakyat,ini mudah atau sulit yaaa untung nya masuk ke kantong siapa pro wong cilik atau wong licik nih yang gadang gadang ahok coba tanyain yaaa buat rakyat pintar atau pintar mintari ngakalin rakyat,Netral
48,2022-07-02 23:53:32,mulatt3,Cukup sudah berbohong hanya utk rakyat jgn ditambah utk bangsa lain,cukup sudah bohong hanya utk rakyat jgn tambah utk bangsa lain,Netral
49,2022-07-02 23:53:30,YantoS09771908,Silalahi Nicho Hahahaa BUDAK BABU KESET KAKI WC nya Anies amp kelompok species binatang tdk berguna kadal gurun di negri ini Lihat dong tampang nya KERE GEMBEL MaDeSu Org tua nya yg MISKIN presiden negara yg dia salahin pdhl MISKIN KERE sdh dari kakek nenek nya,silalahi nicho hahahaa budak babu keset kaki wc nya anies amp kelompok species binatang tdk guna kadal gurun di negri ini lihat dong tampang nya kere gembel madesu org tua nya yg miskin presiden negara yg dia salahin pdhl miskin kere sdh dari kakek nenek nya,Netral
50,2022-07-02 23:53:28,ronin4711,Astaga recehan sekali,astaga receh sekali,Netral
51,2022-07-02 23:53:20,Medisha9,Keknya gada rasa malu tuh watados,kek gada rasa malu tuh watados,Netral
52,2022-07-02 23:53:16,DidingNurislam,Kirain nawarin mobil esemka Kali aja kita bisa expor ke ukraina dan Rusia Mobil goib,kirain nawarin mobil esemka kali aja kita bisa expor ke ukraina dan rusia mobil goib,Netral
53,2022-07-02 23:52:58,BujangSeenang,Siapa si pembisik nya,siapa si bisik nya,Netral
54,2022-07-02 23:52:38,BogiSulton,Saffira Polri Fita klo mo cari nama sana di kuburan pemkaman banyak nama apa san siapa yg kaamu suka kalo mo cari muka kepasar mall muka siapa yg kau inginkaan mo yg cantik ganteng di mall yg biasa ya dipasar cari popularitas berjuanglah dg prestasi baik ya sayang,saffira polri fita klo mo cari nama sana di kubur pemkaman banyak nama apa san siapa yg kaamu suka kalo mo cari muka pasar mall muka siapa yg kau inginkaan mo yg cantik ganteng di mall yg biasa ya pasar cari popularitas juang dg prestasi baik ya sayang,Netral
55,2022-07-02 23:52:37,Itje157,didu PEMBENCI BAPAK PRESIDEN JOKOWI SEMAKIN STREESS KRN IRI DENGKI DGN GABGGUAN MENTAL AKUT MELIHAT KEHEBATAN BELIAU NEGARA MANA YG PUNYA NYALI SPT BELIAU NIH SIAPKAN MENTAL YA PARA HATERS BISA2 AUTO ODGJ JIKA BACA INI,didu benci bapak presiden jokowi makin streess krn iri dengki dgn gabgguan mental akut lihat hebat beliau negara mana yg punya nyali spt beliau nih siap mental ya para haters bisa2 auto odgj jika baca ini,Negative
56,2022-07-02 23:52:36,jacjeta,herianto SE FAKTA APA KE JAHAT AN BRUTAL LOKASI JEJAK DIGITAL ADA DIMANA halu halus radikal,herianto se fakta apa ke jahat an brutal lokasi jejak digital ada mana halu halus radikal,Negative
57,2022-07-02 23:52:35,Tepi_Senja,Level dunia sudah tinggal level semesta,level dunia sudah tinggal level semesta,Netral
58,2022-07-02 23:52:31,Beni01876766,Insya Allah komisaris,insya allah komisaris,Netral
59,2022-07-02 23:52:30,nunungn708,didu Sayangnya saya lebih percaya pak Jokowi daripada anda,didu sayang saya lebih percaya pak jokowi daripada anda,Netral
60,2022-07-02 23:52:25,insyaallah_B,EXOL COMBACK Subuh YumisCells2Ep8 Guru NINGNING REAL WORD TEASER nanamj Tidur AldebaranNeverReplaced Turu marselino WhyHerEp10 Jokowi YANG JUNGWOM FajRi TheGirlsAreBack D5 Malam Minggu,exol comback subuh yumiscells2ep8 guru ningning real word teaser nanamj tidur aldebaranneverreplaced turu marselino whyherep10 jokowi yang jungwom fajri thegirlsareback d5 malam minggu,Positif
61,2022-07-02 23:52:25,Ojoklalenya,Peduli amat jgn sekarang treshold 20 ditimpakan sbg akal2an pemerintahan Jokowi,peduli amat jgn sekarang treshold 20 timpa sbg akal2an perintah jokowi,Netral
62,2022-07-02 23:52:22,Datuak1977,Saffira Polri Kalo ini mah ga lama ini pasti bobok di Pondok Bambu,saffira polri kalo ini mah ga lama ini pasti bobok di pondok bambu,Netral
63,2022-07-02 23:52:18,ari_sup,Jd misi perdamaian ukraina rusia ato misi perdagangan pangan unt indonesia,jd misi damai ukraina rusia ato misi dagang pangan unt indonesia,Netral
64,2022-07-02 23:52:16,Wahyu_Puyuack,Senin sampai Jumat tutup Mohon kantor saya juga digituin pak,senin sampai jumat tutup mohon kantor saya juga digituin pak,Netral
65,2022-07-02 23:52:10,NurulNgalam2,Ini gimana yaaa admin Hapuslah,ini gimana yaaa admin hapus,Netral
66,2022-07-02 23:52:09,ferdy_afs,Presiden Terb doh dan tukang ngibul sedunia,presiden terb doh dan tukang ngibul dunia,Netral
67,2022-07-02 23:52:06,BossWalett,Aghyta mataku hampir tertipu,aghyta mata hampir tipu,Netral
68,2022-07-02 23:51:58,addfiq,Untuk Jokowi ganti dengan Jokowi Abai terhadap Umat Muslim,untuk jokowi ganti dengan jokowi abai hadap umat muslim,Netral
69,2022-07-02 23:51:48,Amirsapta02,Waktu itu ngapain dkung jokowi Skg baru sadar ya mba najwa,waktu itu ngapain dkung jokowi skg baru sadar ya mba najwa,Netral
70,2022-07-02 23:51:47,Karsono12732862,yaa sajak Lu cari pengganti PETRAL siapa sekarang Direktur Pertamina sebelum ini DIPECAT JOKOWI karena MENGUSIR ANAK REZA CHALID dari ruangan nya Sekarang yg melindungi MAFIA siapa selain para politisi busuk Jokowi aja minder,yaa sajak lu cari ganti petral siapa sekarang direktur pertamina belum ini pecat jokowi karena usir anak reza chalid dari ruang nya sekarang yg lindung mafia siapa selain para politis busuk jokowi aja minder,Netral
71,2022-07-02 23:51:46,Mumu1000000,Jadi gatel ini leher Garuk dulu aaah,jadi gatel ini leher garuk dulu aaah,Netral
72,2022-07-02 23:51:46,Curang16,Saffira Polri Ciusss nih,saffira polri ciusss nih,Netral
73,2022-07-02 23:51:44,Dekki08828848,Prokes tetap dijaga pak Jokowi,prokes tetap jaga pak jokowi,Netral
74,2022-07-02 23:51:40,arphiemt,pink Saffira Polri Kadrun lg2 heleeeh,pink saffira polri kadrun lg2 heleeeh,Negative
75,2022-07-02 23:51:33,KRISTIA38829387,Opposite Sdh pd naik harga harga,opposite sdh pd naik harga harga,Netral
76,2022-07-02 23:51:28,GoldenV03036511,Kwkakak jokowi tuh parah utangnya,kwkakak jokowi tuh parah utang,Netral
77,2022-07-02 23:51:27,insyaallah_B,EXOL COMBACK Subuh YumisCells2Ep8 Guru NINGNING REAL WORD TEASER nanamj Tidur AldebaranNeverReplaced Turu marselino WhyHerEp10 Jokowi YANG JUNGWOM FajRi TheGirlsAreBack D5 Malam Minggu,exol comback subuh yumiscells2ep8 guru ningning real word teaser nanamj tidur aldebaranneverreplaced turu marselino whyherep10 jokowi yang jungwom fajri thegirlsareback d5 malam minggu,Positif
78,2022-07-02 23:51:20,firmantile02,Pesan damai apa sih bang Setau saya pak Jokowi terlihat jelas dalam videonya beliau bertanya masalah pupuk agar tidak di blokir Dan Mr Putin hanya menjawab saja Lalu staff zelensky ukraina juga bilang kalo ada pesan biasanya president ukraina menyampaikannya secara terbuka,pesan damai apa sih bang tau saya pak jokowi lihat jelas dalam video beliau tanya masalah pupuk agar tidak di blokir dan mr putin hanya jawab saja lalu staff zelensky ukraina juga bilang kalo ada pesan biasa president ukraina sampai cara buka,Netral
79,2022-07-02 23:51:19,YgRumitItuKamu,Hari gini belom install apps Tokopedia Woy bangun woy DiAtasNormal tidur hug for Aska guru marselino bobo bangun subuh 15 ribu fajri ronaldo pernah cryptocurrencies Jokowi Juventus Klik linknya,hari gin bom install apps tokopedia woy bangun woy diatasnormal tidur hug for aska guru marselino bobo bangun subuh 15 ribu fajri ronaldo pernah cryptocurrencies jokowi juventus klik linknya,Netral
80,2022-07-02 23:51:02,PejuangKeluar15,Saat darah dan daging tercampur kebohongan maka kebohongan cukup mudah di ucapkan,saat darah dan daging campur bohong maka bohong cukup mudah di ucap,Netral
81,2022-07-02 23:50:48,rstation_id,Parah ih malu2in aja Ukraina Bantah Zelensky Titip Pesan ke Jokowi untuk Putin,parah ih malu2in aja ukraina bantah zelensky titip pesan ke jokowi untuk putin,Netral
82,2022-07-02 23:50:40,ibnu_mukhlish,Saffira Polri Kominfo juga kebagian hapus2 akun platform medsos fake penyebar hoaks juga nggak sih,saffira polri kominfo juga bagi hapus2 akun platform medsos fake sebar hoaks juga nggak sih,Negative
83,2022-07-02 23:50:40,Maulana90458814,jokowisyoo Iyess,jokowisyoo iyess,Netral
84,2022-07-02 23:50:39,SOERYAWAD1,Misi pak cumak mao eksprot pupuk kok mbak Masalah rakyatnya urusan nomor sekiyan,misi pak cumak mao eksprot pupuk kok mbak masalah rakyat urus nomor sekiyan,Netral
85,2022-07-02 23:50:37,MuhadjirM,Judul yang lebih spesisik Tokoh NU dan MUI Menag kurang cerdas tambahan kuota di abaikan Jokowi abai terhadap menterinya Jadi bidikannya lebih jelas juga,judul yang lebih spesisik tokoh nu dan mui menag kurang cerdas tambah kuota di abai jokowi abai hadap menteri jadi bidik lebih jelas juga,Netral
86,2022-07-02 23:50:35,itsBungUja,Udah keluar penjara bang,udah keluar penjara bang,Netral
87,2022-07-02 23:50:31,SuhartiniTaurus,Agus eka Dharmi oemar Yg sinting adalah orang yang percaya jika pak Jokowi menginginkan jabatan 3 periode lho jk anda percaya dg hoax itu mk anda termasuk dalam kelompok yang sinting mohon pahami itu ya,agus eka dharmi oemar yg sinting adalah orang yang percaya jika pak jokowi ingin jabat 3 periode lho jk anda percaya dg hoax itu mk anda masuk dalam kelompok yang sinting mohon paham itu ya,Netral
88,2022-07-02 23:50:31,Rembulan2202,Biasa ngibul jadi enteng aja nggedabrus,biasa ngibul jadi enteng aja nggedabrus,Netral
89,2022-07-02 23:50:07,RiceRsari,Negosiasi apa yang langsung ngomong tujuan nya langsung ya di rilex kan lah sata yakin sama latar belakang pak jokowi sebagai pedagang dan politisi pasti juga bisa membaca karakter presiden rusia dalam hal bernegosisasi,negosiasi apa yang langsung ngomong tuju nya langsung ya di rilex kan lah sata yakin sama latar belakang pak jokowi bagai dagang dan politis pasti juga bisa baca karakter presiden rusia dalam hal bernegosisasi,Netral
90,2022-07-02 23:50:04,kumparan,Sepekan terakhir menjadi hari hari yang sibuk bagi Presiden Jokowi Ia secara maraton menghadiri sejumlah agenda internasional termasuk lakukan misi perdamaian ke Ukraina dan Rusia kumparanNEWS,pek akhir jadi hari hari yang sibuk bagi presiden jokowi ia cara maraton hadir jumlah agenda internasional masuk laku misi damai ke ukraina dan rusia kumparannews,Netral
91,2022-07-02 23:50:00,AHamzah07,Astaghfirullah,astaghfirullah,Netral
92,2022-07-02 23:49:56,wazacky,Kita jujur gak sih apa misi perdamaian jokowi ke Rusia n Ukraina itu berhasil Damaikah mereka,kita jujur gak sih apa misi damai jokowi ke rusia n ukraina itu hasil damai mereka,Netral
93,2022-07-02 23:49:55,raje_bintang,Ada yang tahu Jokowi itu siapa,ada yang tahu jokowi itu siapa,Netral
94,2022-07-02 23:49:52,Suhartobhai,RI Kenapa pres jokowi kayaknya ngak paham apa yg mau disampaikan buka lihat laptop buka kertas halaman perhalaman Harus ya dia tidak perlu seperti itu paham poin poinnya Tampak seperti orang Maaf ya Bu Saya merasa malu sekali lihat pres kita seperti ini,ri kenapa pres jokowi kayak ngak paham apa yg mau sampai buka lihat laptop buka kertas halaman halaman harus ya dia tidak perlu seperti itu paham poin poin tampak seperti orang maaf ya bu saya rasa malu sekali lihat pres kita seperti ini,Netral
95,2022-07-02 23:49:50,Adhi_Beka2,Lebih gedhe dr nyali si kebo cikeas,lebih gedhe dr nyali si kebo cikeas,Netral
96,2022-07-02 23:49:46,arphiemt,Saffira Polri Foto betina tpi sprtinya jenggotnya awut2an biasa bayar dapet simpati tkbtaunya kadroen,saffira polri foto betina tpi sprtinya jenggot awut2an biasa bayar dapet simpati tkbtaunya kadroen,Netral
97,2022-07-02 23:49:33,ahmadsaifulch,Wkwkwk ya terserah sih dia mo ngomong apa,wkwkwk ya serah sih dia mo ngomong apa,Netral
98,2022-07-02 23:49:31,RCikboy,Dan ternyata begitu lemahnya orang2 yg tdk suka jokowi ngaku oposisi amp kontra pemerintah untuk menumbangkan Jokowi Cuma garang di medsos Lama2 rakyat jd ketawa menganggap lucu2an,dan nyata begitu lemah orang2 yg tdk suka jokowi ngaku oposisi amp kontra perintah untuk tumbang jokowi cuma garang di medsos lama2 rakyat jd ketawa anggap lucu2an,Netral
99,2022-07-02 23:49:24,AndypermanaAndi,Subhanallah semoga negara RI dan Rusia saling membantu Dan Negara Rusia juga banyak penganut Agama Islam yg akan melebihi Muslim Eropah Aamiin,subhanallah moga negara ri dan rusia saling bantu dan negara rusia juga banyak anut agama islam yg akan lebih muslim eropah aamiin,Netral
100,2022-07-02 23:49:20,DirutDjoyoGroup,Pak Jokowi pastinya,pak jokowi pasti,Netral
101,2022-07-02 23:49:18,2705hhakim,didu Kalau memang Jokowi benar bemar berbohong ini merupakan malapetaka Fatal berbahaya bagi Jokowi dan bangsa Indonesia,didu kalau memang jokowi benar bar bohong ini rupa malapetaka fatal bahaya bagi jokowi dan bangsa indonesia,Netral
102,2022-07-02 23:49:10,abdulrachim88,Setelah Rusia bantah tdk ada negosiasi perdamaian antara Jokowi Putin Kini giliran Ukraina bantah Zelensky titip pesan ke Jokowi buat Putin Buzzer 62 udah heboh banget sampai mau dicalonkan jadi Sekjen PBB,telah rusia bantah tdk ada negosiasi damai antara jokowi putin kini gilir ukraina bantah zelensky titip pesan ke jokowi buat putin buzzer 62 udah heboh banget sampai mau calon jadi sekjen pbb,Netral
103,2022-07-02 23:49:05,GozimVan,2024 zhaq77 AbdillahToha mujani Bipang kalo udah bacot ya gitu kayak babi,2024 zhaq77 abdillahtoha mujani bipang kalo udah bacot ya gitu kayak babi,Netral
104,2022-07-02 23:49:01,AntiCukong,urat malunya sudah hilang,urat malu sudah hilang,Netral
105,2022-07-02 23:48:53,ISANTOSA31,Mantap pak Presiden ku semoga selalu di beri kesehatan keselamatan keberkahan dari Allah SWT jadi suri teladan bagi seluruh pimpinan dunia Ammiin YRA,mantap pak presiden ku moga selalu di beri sehat selamat berkah dari allah swt jadi suri teladan bagi seluruh pimpin dunia ammiin yra,Netral
106,2022-07-02 23:48:52,taufiqur74,Apapun hasilnya setidaknya pak jokowi sudah berusaha masalah mau damai atau tidak terserah mereka Daripada cuma diem atau bahkan cuma nyinyirin orang yg tak ada faedahnya,apa hasil tidak pak jokowi sudah usaha masalah mau damai atau tidak serah mereka daripada cuma diem atau bahkan cuma nyinyirin orang yg tak ada faedah,Netral
107,2022-07-02 23:48:45,naufalyasir98,Elu yg tolol orang mau ngaji itu ya ibadah ibadah ada syariat nya pak satu lagi ni anak buat tolol perlu di literasi,elu yg tolol orang mau ngaji itu ya ibadah ibadah ada syariat nya pak satu lagi ni anak buat tolol perlu di literasi,Netral
108,2022-07-02 23:48:42,niniqwahyuni,ekokuntadhi Kirain yaman,ekokuntadhi kirain yaman,Netral
109,2022-07-02 23:48:38,Lanzky10501519,Kita lihat saja apa sih hasil dari dr perjalanan pak jokowi kesana,kita lihat saja apa sih hasil dari dr jalan pak jokowi kesana,Netral
110,2022-07-02 23:48:33,Annessautma,Sopan,sopan,Netral
111,2022-07-02 23:48:28,krt_seenoparty,Aska gm Hi hapsun Nnn Pil 1 911 Tidur Guru Turu Joji Jokowi Nang Vietnam Malam Minggu Marselino main nice,aska gm hi hapsun nnn pil 1 911 tidur guru turu joji jokowi nang vietnam malam minggu marselino main nice,Positif
112,2022-07-02 23:48:19,tledekan70,Ruuuuaaaaaarrr biasaaaahhhh dan Para putra terbaik NKRI,ruuuuaaaaaarrr biasaaaahhhh dan para putra baik nkri,Netral
113,2022-07-02 23:48:14,abdulrachim88,Setelah Rusia bantah tdk ada negosiasi perdamaian antara Jokowi Putin Kini giliran Ukraina bantah Zelensky titip pesan ke Jokowi buat Putin Buzzer 62 udah heboh banget sampai mau dicalonkan jadi Sekjen PBB,telah rusia bantah tdk ada negosiasi damai antara jokowi putin kini gilir ukraina bantah zelensky titip pesan ke jokowi buat putin buzzer 62 udah heboh banget sampai mau calon jadi sekjen pbb,Netral
